Time,w1,x1,y1,z1,w2,x2,y2,z2,x_diff,y_diff,z_diff
1718830622.272033,-0.69,0.0,-0.01,0.73,0.76,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.286782,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.296256,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.312133,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.321975,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.336201,-0.69,0.0,-0.01,0.73,0.76,-0.0,0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.346095,-0.69,0.0,-0.01,0.73,0.76,-0.0,0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.362127,-0.69,0.0,-0.01,0.73,0.76,-0.0,0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.37188,-0.69,0.0,-0.01,0.73,0.76,-0.0,0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.386156,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9753396889388317,13.018206542173417,-0.8508738881105962
1718830622.39614,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
1718830622.455876,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
1718830622.456293,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
1718830622.456672,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
1718830622.457052,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
1718830622.462177,-0.69,0.0,-0.01,0.73,0.77,-0.0,-0.0,-0.64,-0.9866101881017337,13.755334353480874,-0.853483325086044
