Time,w1,x1,y1,z1,time2,w2,x2,y2,z2
1729028462.60655,-0.9993747852868184,-0.0036479585481468176,0.0030113730394588346,0.03503801597941847,1729028462.606561,-0.9993968199974859,-0.013711693957392869,0.018309351404949607,0.026129548003400116
1729028462.61489,-0.99937462703457,-0.003645818676758331,0.0030210316149971994,0.03504192080453861,1729028462.614902,-0.9993963207894996,-0.01368374372877326,0.018339188707652054,0.026142366142381468
1729028462.6232052,-0.9993744028043292,-0.0036453796099190396,0.0030272310066870585,0.035047825887237205,1729028462.6232152,-0.9993961226260184,-0.013664407344984371,0.018366027205927758,0.026141214521556932
1729028462.631573,-0.9993744878212624,-0.003645372034616462,0.0030301519963078227,0.03504514992974139,1729028462.6315808,-0.9993963120745527,-0.01364907140173693,0.018383957223350886,0.026129377689946
1729028462.6397529,-0.999374635382029,-0.0036456841310976125,0.0030321926100468116,0.03504073272961861,1729028462.639761,-0.9993962153184817,-0.013642077475779682,0.018399845999667125,0.02612554681587731
1729028462.648234,-0.9993745594769388,-0.00364546800479879,0.00303297999381961,0.03504285184824252,1729028462.648244,-0.9993957577597032,-0.013642901959438965,0.018393859812913707,0.026146826178656213
1729028462.65666,-0.9993746393772047,-0.0036451798344920667,0.003034062950750201,0.0350405093522797,1729028462.656678,-0.9993967067764354,-0.013633955610981742,0.01839437754255487,0.026114835125562952
1729028462.664841,-0.9993745625798053,-0.0036463797809125043,0.0030335718587290485,0.03504261726375646,1729028462.66485,-0.9993964498728941,-0.013630366041580511,0.018388079599039767,0.026130970737572645
1729028462.67314,-0.9993744369219215,-0.00364517858410798,0.0030355734841733296,0.03504615233808889,1729028462.673147,-0.9993964686442374,-0.013638938190788914,0.018388944211788237,0.026125170951241006
1729028462.681629,-0.9993745753479288,-0.0036442927335949885,0.0030342780728333744,0.03504240909520673,1729028462.681637,-0.999396503543646,-0.013639466844854942,0.01838090644338718,0.02612921597068907
