Snapshot Counter,Time,w1,x1,y1,z1,loc1_x,loc1_y,loc1_z,time2,w2,x2,y2,z2,loc2_x,loc2_y,loc2_z,stylus_x,stylus_y,stylus_z
1,1703155851.4585211,-0.0499233640730381,0.14670340716838837,-0.013423874042928219,0.9878286719322205,37.05766677856445,-1.2901647090911865,-55.562652587890625,1703155851.458529,-0.02635335363447666,0.027265865355730057,-0.06842554360628128,0.996935248374939,12.581588745117188,-1.8717010021209717,-54.13669967651367,63.59783935546875,7.277044773101807,-55.87051010131836
2,1703155870.006838,-0.04865170270204544,0.1468437910079956,-0.01982457935810089,0.987763524055481,36.997276306152344,-1.1293758153915405,-55.66691207885742,1703155870.006845,-0.02873210981488228,0.024479124695062637,-0.07545876502990723,0.996434211730957,12.563633918762207,-1.6567949056625366,-54.262332916259766,26.768291473388672,-1.3161423206329346,-51.80841827392578
3,1703155877.8181078,-0.05027936398983002,0.1435784101486206,-0.029875170439481735,0.987909197807312,37.03652572631836,-0.8933792114257812,-55.907779693603516,1703155877.818115,-0.029096487909555435,0.02510848082602024,-0.08169862627983093,0.9959157705307007,12.581700325012207,-1.4530041217803955,-54.59242630004883,26.58614730834961,-5.511291980743408,-42.95302200317383
4,1703155884.748085,-0.04830198734998703,0.14493867754936218,-0.024363117292523384,0.9879605770111084,36.96368408203125,-0.941842257976532,-55.781227111816406,1703155884.748092,-0.02751852013170719,0.025673406198620796,-0.08281241357326508,0.9958541989326477,12.482831001281738,-1.4230366945266724,-54.4383544921875,20.604473114013672,-9.442634582519531,-48.27867889404297
5,1703155891.749104,-0.048701103776693344,0.14504869282245636,-0.021927660331130028,0.9879818558692932,36.975364685058594,-1.023956060409546,-55.74642562866211,1703155891.749111,-0.027979932725429535,0.026259595528244972,-0.07525911182165146,0.9964253902435303,12.476487159729004,-1.5972929000854492,-54.428035736083984,21.154233932495117,23.351037979125977,55.86162185668945
6,1703155896.6744142,-0.04877112805843353,0.14502879977226257,-0.02439241297543049,0.9879235625267029,36.96562957763672,-0.97901850938797,-55.77996826171875,1703155896.674421,-0.02758997492492199,0.025498569011688232,-0.08256450295448303,0.9958773255348206,12.486187934875488,-1.470531940460205,-54.44084930419922,11.759729385375977,9.428442001342773,31.009262084960938
